Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
506074,ARSHIYA,Arshiya Limited,Active,B ,2.00,INE968D01022,Transportation - Logistics,Equity
506159,ASISL,ASIS LOGISTICS LIMITED,Active,XT,1.00,INE888E01020,Transportation - Logistics,Equity
511185,SURYAKR,SURYAKRIPA FINANCE LTD.,Active,XT,10.00,INE381N01019,Transportation - Logistics,Equity
520086,SICAL,SICAL LOGISTICS LTD.,Active,B ,10.00,INE075B01012,Transportation - Logistics,Equity
523846,SKYSS,SKYPAK SERVICE SPECIALIST LTD.,Active,XT,10.00,INE539D01013,Transportation - Logistics,Equity
526612,BLUEDART,BLUE DART EXPRESS LTD.,Active,A ,10.00,INE233B01017,Transportation - Logistics,Equity
526622,MFLINDIA,MFL INDIA LTD.,Active,XD,1.00,INE244C01020,Transportation - Logistics,Equity
526737,CORPOCO,CORPORATE COURIER AND CARGO LTD.,Active,XT,10.00,INE871E01018,Transportation - Logistics,Equity
532262,TCIIND,TCI INDUSTRIES LTD.,Active,XC,10.00,INE920B01019,Transportation - Logistics,Equity
532345,GATI,GATI LTD.,Active,A ,2.00,INE152B01027,Transportation - Logistics,Equity
532622,GDL,GATEWAY DISTRIPARKS LTD.,Active,A ,10.00,INE852F01015,Transportation - Logistics,Equity
532749,ALLCARGO,ALLCARGO LOGISTICS LTD.,Active,B ,2.00,INE418H01029,Transportation - Logistics,Equity
533289,KTIL,KESAR TERMINALS &amp; INFRASTRUCTURE LTD.,Active,B ,10.00,INE096L01017,Transportation - Logistics,Equity
534615,NECCLTD,NORTH EASTERN CARRYING CORPORATION LTD.,Active,B ,10.00,INE553C01016,Transportation - Logistics,Equity
536264,TIGERLOGS,Tiger Logistics (India) Ltd,Active,B ,10.00,INE906O01011,Transportation - Logistics,Equity
538635,SNOWMAN,Snowman Logistics Ltd,Active,B ,10.00,INE734N01019,Transportation - Logistics,Equity
539118,VRLLOG,VRL Logistics Ltd,Active,B ,10.00,INE366I01010,Transportation - Logistics,Equity
